Background_%,Source,mAP50-95_mean,mAP50-95_var,mAP50_mean,mAP50_var,mAP75_mean,mAP75_var,Precision_mean,Precision_var,Recall_mean,Recall_var,F1_mean,F1_var,Inference Time (ms)_mean,Inference Time (ms)_var,Preprocessing Time (ms)_mean,Preprocessing Time (ms)_var,Postprocessing Time (ms)_mean,Postprocessing Time (ms)_var,Total Time (ms)_mean,Total Time (ms)_var,FPS_mean,FPS_var
0.0,TestSet::dataset::datamatrix140,0.306632195504522,,0.7715438463162451,,0.1917217353819784,,0.8429510591672754,,0.7786774628879892,,0.8095405121010172,,26.42195589950908,,0.6999045302617853,,6.917081781173661,,34.038942210944526,,29.37811621180374,
0.0,TestSet::dataset::datamatrixfit,0.3462445288254772,0.0008563416786329811,0.7134611905005861,0.003485017668067185,0.2629808441797343,0.0018509780630142241,0.8084124830393487,0.00024369947474911372,0.6619047619047619,0.0012414965986394567,0.764846715328467,0.003568222494538864,18.66261706097064,25.3201539733489,2.1806797590958915,0.013422142685944067,2.550619109564163,0.8315290449008415,23.39391592963069,30.782275349469842,44.20413967076408,85.03509742283781
0.0,TestSet::dataset::dmcode,0.6135014344017614,,0.9071000121712938,,0.6815460255838669,,0.9469231187427156,,0.8190255220417634,,0.8783428733433001,,20.47173924924736,,0.6828303486935655,,2.42846561856916,,23.583035216510083,,42.403362875865824,
0.0,TestSet::dataset::implementacao,0.5639206102668982,,0.9128284153005464,,0.5977357546288109,,0.989140628723962,,0.8309859154929577,,0.9031920703789278,,22.8423206647858,,2.302987719886005,,2.392817777581513,,27.53812616225332,,36.31329140218357,
0.0,TestSet::dataset::pcbdataset,0.5065516597161536,5.827786780178827e-05,0.8219023802670652,0.0004121362435221003,0.5793033059928953,0.0007248388347732329,0.8636254194053831,0.0025951709253257574,0.7526881720430106,0.0003468609087755804,0.8035269363802865,0.00024556300715117654,15.605449454031055,32.924791781380506,1.306348653613693,0.020730894579124123,0.8569373205925029,1.6448515967251764,17.768735428237253,51.283126013336386,61.70209244471588,407.5980660024335
0.0,TestSet::dataset::qrv2,0.6825037441807712,,0.9674556238007832,,0.7964814970254988,,0.9801660516605166,,0.9386042402826856,,0.9589350180505416,,20.14070975674372,,0.5482988089117661,,2.2243625713584936,,22.913371137013986,,43.64263966311845,
0.0,TestSet::dataset::real2dcodes,0.6358572924911923,,0.96915421736414,,0.8594326633012206,,0.9906588750526611,,0.9319526627218936,,0.960409482950542,,20.243736815297257,,0.8083507681388092,,2.249863128642023,,23.30195071207809,,42.914862036922536,
0.0,TestSet::dataset::recntagledmtest,0.3066032615604838,,0.9173929002337542,,0.0719072719585059,,0.8111415959228429,,0.9395973154362416,,0.8706569106596526,,20.400128993218377,,0.6474445522737527,,2.273305371763063,,23.3208789172552,,42.88003053178655,
0.0,TestSet::global::global,0.3791200709912241,0.0008849827812879128,0.8285970624001577,0.0005888017369245946,0.2903080291954971,0.0015658629537038797,0.8619250724545425,0.0002720410062073428,0.8208129398257945,0.00029238683850603436,0.8408610910442063,0.0002760859917344573,12.126499532583964,47.2587600253497,0.31089388228122045,0.038760588469718686,0.8443622988417756,1.4737761911511749,13.281755713706959,68.64728001391575,93.03663217116527,1820.7115565004083
5.0,TestSet::dataset::datamatrix140,0.3820691458472318,0.0020436966977891956,0.8272200733133928,0.0003721343070328233,0.3042850908615437,0.006011205370004579,0.879698330819927,0.0012454954389032862,0.8270874424720578,0.00032756544217022425,0.8521460431904649,0.00018748348753444213,16.48525253338161,11.578356422464882,0.5748957058804184,0.010483319176118958,6.064945635106941,3.248032658146636,23.125093874368968,27.957980576954213,44.644287136154105,84.94903248287692
