source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.2915893348483258,0.739408194939159,0.1806904395268181,0.8249738766980146,0.7376206789162255,0.7788556395922394,0.5435344400042194,14.901173007437738,4.336323020821911,19.781030468263868,50.55348363192565,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3940643891866414,0.6992627174140222,0.4036442913472412,0.7697695584490505,0.6357142857142857,0.6963488154577033,1.9527674086538016,14.885586412513955,2.2700150478996486,19.108368869067405,52.33309063960966,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.4792887513671343,0.8234145752636761,0.4786773655686074,0.9239765841359776,0.7703016241299304,0.8401697666246143,0.4802481488925274,8.653983595633061,0.4330767170639238,9.567308461589514,104.52260466094138,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.6508441832547244,0.8943399999999999,0.823909659090909,1.0,0.7887323943661971,0.8818897637795275,2.0086637884378438,16.21320653706789,1.0759422183036804,19.29781254380941,51.81934469152008,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.462014630901948,0.785985685618729,0.5541331737405106,0.90462256760452,0.6774193548387096,0.7747061913160915,1.3832904708882172,9.18354708701372,0.1010322322448094,10.66786979014675,93.73942686511212,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.734220622953172,0.9759170256937476,0.863941367719945,0.9626998223801064,0.9575971731448764,0.9601417183348095,0.3261918829046841,8.265566697376745,0.1195553583328844,8.711313938614314,114.7932455478774,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5856299356184795,0.9335889455054656,0.732721209097964,0.9577380175806246,0.8609467455621301,0.906766742700689,0.527255645833419,8.880714850856405,0.3759454538736224,9.783915950563449,102.20856404049655,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3697222441518742,0.90947948095077,0.1622995518754028,0.8593350383631714,0.902013422818792,0.8801571709233793,0.4109907541019113,8.345883614231793,0.3773828110475417,9.134257179381246,109.47797728503852,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3413646426480002,0.7707488990274936,0.2523613135876592,0.8218907786537655,0.7338148936534232,0.7753596391251715,0.2992976281413997,8.23464239542575,0.1380300201061699,8.67197004367332,115.31405147433082,,,,,,,,,,,,
