source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.306632195504522,0.7715438463162451,0.1917217353819784,0.8429510591672754,0.7786774628879892,0.8095405121010172,0.6999045302617853,26.42195589950908,6.917081781173661,34.038942210944526,29.37811621180374,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3314235797157928,0.6455611119663007,0.278280212382912,0.7909090909090909,0.6214285714285714,0.696,2.313421098698004,24.396950470320157,3.0898405147679884,29.800212083786143,33.55680815923069,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.6135014344017614,0.9071000121712938,0.6815460255838669,0.9469231187427156,0.8190255220417634,0.8783428733433001,0.6828303486935655,20.47173924924736,2.42846561856916,23.583035216510083,42.403362875865824,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.5639206102668982,0.9128284153005464,0.5977357546288109,0.989140628723962,0.8309859154929577,0.9031920703789278,2.302987719886005,22.8423206647858,2.392817777581513,27.53812616225332,36.31329140218357,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.5032695715759095,0.8275352272727274,0.5507868831168832,0.92,0.7419354838709677,0.8214285714285714,1.468481426127255,22.22965603383879,2.33785630359004,26.035993763556085,38.40836685864287,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.6825037441807712,0.9674556238007832,0.7964814970254988,0.9801660516605166,0.9386042402826856,0.9589350180505416,0.5482988089117661,20.14070975674372,2.2243625713584936,22.913371137013986,43.64263966311845,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.6358572924911923,0.96915421736414,0.8594326633012206,0.9906588750526611,0.9319526627218936,0.960409482950542,0.8083507681388092,20.243736815297257,2.249863128642023,23.30195071207809,42.914862036922536,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3066032615604838,0.9173929002337542,0.0719072719585059,0.8111415959228429,0.9395973154362416,0.8706569106596526,0.6474445522737527,20.400128993218377,2.273305371763063,23.320878917255197,42.88003053178655,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3461761211370006,0.8006898857887007,0.2472960961168145,0.8433952063434853,0.8039165163617624,0.8231827975902555,0.5382279554440456,20.06448572062874,2.2461567352444907,22.848870411317275,43.7658397110384,,,,,,,,,,,,
