source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.3097438150063648,0.7712613767667247,0.1962657210708456,0.8335204941044357,0.7705283919858819,0.8007875714748084,0.5696725573832706,18.430164775227087,8.323072657873064,27.322909990483424,36.5993227056818,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3229808469216914,0.6748804953704577,0.3280464961067439,0.8067524581439972,0.6560341447438222,0.7236286657993981,1.995959748313123,17.843085742902524,2.06140278126387,21.900448272479515,45.66116581534166,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.5716075424773683,0.8873697964742359,0.594018102561833,0.9000884479928081,0.8259860788863109,0.8614466133773272,0.4900822853321366,11.705893458511296,0.580440721448476,12.776416465291907,78.26920817089635,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.7103724700222351,0.9154666666666668,0.788590552059254,1.0,0.8309859154929577,0.9076923076923076,1.928571732714772,18.54555427096784,0.9935773443430662,21.46770334802568,46.58160138457321,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.5128240519586069,0.8640234374999998,0.5760093506493507,0.9583333333333334,0.7419354838709677,0.8363636363636364,1.1221767247964938,14.558622458328804,0.3893245787670215,16.07012376189232,62.22727433943832,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.7025489088227727,0.9769788162880084,0.8092228654966571,0.982750794371312,0.9562720848056536,0.9693306469666444,0.3411595708369567,11.73572565196395,0.2528538834345362,12.329739106235444,81.10471692740653,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.6010557208944044,0.9584685257065352,0.796982316301986,0.9646053272440576,0.88692834846681,0.924137455384266,0.6201521706618486,12.430783669204455,0.3609072568835136,13.411843096749816,74.5609677049038,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3335439791407051,0.9538669098080856,0.1005591393075152,0.8740073924861471,0.9311377532854044,0.901668524218914,0.4532715671381953,11.491068785645716,0.2215118141105884,12.1658521668945,82.19728353441465,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3666961305970488,0.8130070400025284,0.2768675087518772,0.8399602834318726,0.7992355922013227,0.8190920493805426,0.3056497452555647,11.690943829877222,0.2873156336698555,12.283909208802642,81.40730959517354,,,,,,,,,,,,
