source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.3805139334180588,0.8320131413098056,0.2930431418563377,0.8792693471681798,0.844492889027302,0.8615303150648663,0.6833446827732911,20.365835044343594,8.09321830017587,29.14239802729276,34.314266075958095,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.341192753956303,0.7399632896271474,0.2584289444022729,0.8225595066911698,0.7571428571428571,0.7884967058663033,2.054074450450785,13.87627751511686,2.157670390956542,18.08802235652419,55.28520367177172,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.5424609550559598,0.8093765004810118,0.6219373151688224,0.8534572492786783,0.8375870069605569,0.8454476579836921,0.5622056952599331,11.165716293676992,0.5821653828895259,12.310087371826452,81.2341919106647,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.7293698646619864,0.943575,0.7836369005137916,1.0,0.8873239436619719,0.9402985074626864,2.096621375530958,14.36143646016717,2.669228464365005,19.127286300063133,52.281331722247465,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.3866052708818959,0.6096094322344322,0.5441711309523809,0.7822156658135494,0.5483870967741935,0.6447558806995919,1.2291737521688142,13.41080777347088,0.1531594432890415,14.793140968928734,67.59889614385365,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.6799910536010797,0.9625128546168624,0.7588495573613949,0.9612579762989972,0.9315371024734982,0.946164199192463,0.4451599757715972,11.346909830347538,0.3213061446408314,12.113375950759966,82.55336943763082,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.6020673398904572,0.9679885492105734,0.8613589292478491,0.9873174783234744,0.921288307927984,0.95316073706225,0.534055182319076,11.545895376946298,0.8223592960582259,12.9023098553236,77.50550182201614,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3520760600837421,0.944588703446296,0.114369088314662,0.846356655134765,0.9409395973154362,0.8911454820945351,0.5242653828843132,11.122125265461838,0.4163057993814025,12.062696447727554,82.90020430617619,,,,,,,,,,,,
TestSet::global::global,4140.0,0.4064349457450514,0.8446832361055788,0.3314093829259295,0.8698713762100693,0.8405399946025214,0.854954187444551,0.4283284165577036,11.206447610919527,0.3181026204700631,11.952878647947296,83.66185497681205,,,,,,,,,,,,
