Background_%,source,mAP50-95_mean,mAP50-95_var,mAP50_mean,mAP50_var,mAP75_mean,mAP75_var,Precision_mean,Precision_var,Recall_mean,Recall_var,F1_mean,F1_var,Inference Time (ms)_mean,Inference Time (ms)_var,Preprocessing Time (ms)_mean,Preprocessing Time (ms)_var,Postprocessing Time (ms)_mean,Postprocessing Time (ms)_var,Total Time (ms)_mean,Total Time (ms)_var,FPS_mean,FPS_var
aug,TestSet::dataset::datamatrix140,0.306632195504522,,0.7715438463162451,,0.1917217353819784,,0.8429510591672754,,0.7786774628879892,,0.8095405121010172,,26.42195589950908,,0.6999045302617853,,6.917081781173661,,34.038942210944526,,29.37811621180374,
aug,TestSet::dataset::datamatrixfit,0.3314235797157928,,0.6455611119663007,,0.278280212382912,,0.7909090909090909,,0.6214285714285714,,0.696,,24.39695047032016,,2.313421098698004,,3.0898405147679884,,29.800212083786143,,33.55680815923069,
aug,TestSet::dataset::dmcode,0.6135014344017614,,0.9071000121712938,,0.6815460255838669,,0.9469231187427156,,0.8190255220417634,,0.8783428733433001,,20.47173924924736,,0.6828303486935655,,2.42846561856916,,23.583035216510083,,42.403362875865824,
aug,TestSet::dataset::implementacao,0.5639206102668982,,0.9128284153005464,,0.5977357546288109,,0.989140628723962,,0.8309859154929577,,0.9031920703789278,,22.8423206647858,,2.302987719886005,,2.392817777581513,,27.53812616225332,,36.31329140218357,
aug,TestSet::dataset::pcbdataset,0.5032695715759095,,0.8275352272727274,,0.5507868831168832,,0.92,,0.7419354838709677,,0.8214285714285714,,22.22965603383879,,1.468481426127255,,2.33785630359004,,26.035993763556085,,38.40836685864287,
aug,TestSet::dataset::qrv2,0.6825037441807712,,0.9674556238007832,,0.7964814970254988,,0.9801660516605166,,0.9386042402826856,,0.9589350180505416,,20.14070975674372,,0.5482988089117661,,2.2243625713584936,,22.913371137013986,,43.64263966311845,
aug,TestSet::dataset::real2dcodes,0.6358572924911923,,0.96915421736414,,0.8594326633012206,,0.9906588750526611,,0.9319526627218936,,0.960409482950542,,20.243736815297257,,0.8083507681388092,,2.249863128642023,,23.30195071207809,,42.914862036922536,
aug,TestSet::dataset::recntagledmtest,0.3066032615604838,,0.9173929002337542,,0.0719072719585059,,0.8111415959228429,,0.9395973154362416,,0.8706569106596526,,20.400128993218377,,0.6474445522737527,,2.273305371763063,,23.3208789172552,,42.88003053178655,
aug,TestSet::global::global,0.3461761211370006,,0.8006898857887007,,0.2472960961168145,,0.8433952063434853,,0.8039165163617624,,0.8231827975902555,,20.06448572062874,,0.5382279554440456,,2.2461567352444907,,22.848870411317275,,43.7658397110384,
background10,TestSet::dataset::datamatrix140,0.3686269738181705,0.002715329668525798,0.8228232411224065,0.002053758705224785,0.27757540813519394,0.0052541177306651456,0.8707226408976824,0.0010440816410563572,0.8315339631129105,0.00286283984779919,0.8505670639809529,0.0018893909798002521,14.55782469425161,12.565501637052668,0.5377118786176046,0.0015870661370228885,6.533789287431766,2.5603094676768823,21.62932586030098,24.918405658745378,47.75479100897119,98.21712655300344
