source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.326740855520585,0.7883401842394557,0.2116676236958117,0.8529608938547486,0.7924841690023876,0.8216111499757843,1.104263765579563,26.468472741544247,7.920777055797942,35.49351356292175,28.174161969826752,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.4471839391774138,0.823214172782514,0.556035456550856,0.8761061946902655,0.7071428571428572,0.7826086956521741,2.533740984896818,26.351628551150068,1.9043148221338493,30.789684358180736,32.478410248278585,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.4299312030599184,0.6162731812405431,0.4910863890276493,0.9485169994468992,0.5129628468375568,0.6658374134232132,0.8427235776575926,18.979278125443333,1.6377111439915182,21.459712847092444,46.59894599360816,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.6887047457301709,0.9154666666666668,0.80276103893021,1.0,0.8309859154929577,0.9076923076923076,2.7806459926068783,24.0758565440774,3.210928551852703,30.067431088536978,33.258577929567245,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.4927980445204054,0.8227162127727345,0.6011518237261461,0.8559153032271312,0.7096774193548387,0.7759665139204066,1.5707223986585934,18.50773685922225,2.46781005213658,22.546269310017426,44.353235839141455,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.6848324023956762,0.9838544859972688,0.7780540201022449,0.9780308814290456,0.9624558303886924,0.97018085040099,0.7643600164381231,19.10075578372717,1.676019251092781,21.54113505125807,46.422809086914704,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5497069521137441,0.970485054479386,0.5107244854433245,0.9872380562028716,0.9154812424043194,0.9500065752242268,1.0047448991701522,18.609968504538543,1.7763897689018504,21.391103172610546,46.748407126585846,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3199607301934806,0.9420674371472688,0.0898347591300051,0.8700123094062487,0.925346334742308,0.8968266082251901,0.8349283180786702,19.567495019620527,1.557016121375415,21.959439459074613,45.53850301432698,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3609547482043779,0.8143812471342315,0.2580825692752806,0.8474258391554602,0.8001803658850811,0.8231257153091417,0.7453404965356064,19.431486045311832,1.700547001671028,21.877373543518463,45.70932603087845,,,,,,,,,,,,
