source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.3873489508628125,0.8408718183323542,0.3010352284691152,0.8868575742867929,0.8535762483130904,0.8698987013673993,0.5503838061023566,13.770235673982206,5.240201198701131,19.560820678785696,51.12259942572504,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.380048928776456,0.7862559302045182,0.3595788462899135,0.8181818181818182,0.7714285714285715,0.7941176470588236,1.817636648375614,12.578611335187569,1.3895982365105668,15.785846220073749,63.347886838551005,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.6216879871049199,0.9330005438077182,0.7205815498722637,0.9412881230139029,0.8793503480278422,0.909265679850364,0.425063441376959,8.511668569451876,0.4422622645778634,9.3789942754067,106.62124004299356,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.703401023461171,0.948952047952048,0.7596343095726681,0.9803594550261218,0.9014084507042254,0.939227728135106,2.05139784142375,15.312459990382196,1.3245489820837977,18.688406813889745,53.509109147644,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.457313994355318,0.7054375000000002,0.5851292483660133,0.9175817696038284,0.4838709677419355,0.6336156289957304,1.0993810060123603,8.681188182284435,0.1153890043497085,9.895958192646503,101.05135657738336,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.7177596554645443,0.9705829062294712,0.8307318680704507,0.9284001639114116,0.9452296819787986,0.9367393389979872,0.3266864427432572,8.254628330853182,0.1421967201546028,8.723511493751042,114.63273713989317,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5917141659514435,0.963273645863558,0.7711485210188707,0.9934763031774426,0.901110759016742,0.9450420130965888,0.5266706643153134,8.738941209373243,0.284869206316045,9.550481080004602,104.70676729506889,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.385658667691597,0.9442606587337176,0.1554855864339767,0.8320260053184432,0.959731543624161,0.8913277389465523,0.3926802259545935,8.47088135702981,0.2067811045613463,9.07034268754575,110.24941773953852,,,,,,,,,,,,
TestSet::global::global,4140.0,0.4206205119501481,0.8604076533219636,0.349652328766373,0.8779102536310427,0.8695782873829769,0.8737244072404048,0.3064520580577101,8.200355996445253,0.1303341660360639,8.637142220539028,115.77903598970632,,,,,,,,,,,,
