






























































































source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.2959935109885093,0.7284229507341804,0.1924935750998872,0.8336963484945548,0.6754905014014326,0.746301181328134,0.9877577897603228,26.25822239255501,8.459563764854003,35.70554394716933,28.0068552233687,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3821456131996072,0.7192471107745136,0.3616575386001975,0.7868852459016393,0.6857142857142857,0.732824427480916,2.5184726269513957,24.39641443026416,11.301518070931529,38.21640512814709,26.166773055885404,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.6048661850008362,0.8319482489585814,0.7354460619127481,0.8038379530916845,0.8747099767981439,0.8377777777777778,1.0062003003381124,18.36638148682557,2.141759767867277,21.514341555030963,46.48062305054173,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.6798123972240001,0.88726875,0.8336842046842047,1.0,0.7746478873239436,0.873015873015873,2.26079186424613,23.371644224971533,2.5681545585393906,28.200590647757053,35.46025019442405,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.5322763980585403,0.8639916441046874,0.657870929070929,0.9038949095929152,0.7741935483870968,0.8340318462938959,2.5891801963249845,17.6159905269742,1.6193591989576817,21.82452992225687,45.82000178524763,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.6875489474347063,0.977161195539033,0.788101561052783,0.9708911777877296,0.9575971731448764,0.964198354458528,0.7482306294540608,19.679748886509067,1.8263008852093967,22.25428040117252,44.93517570432484,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5784275488724118,0.9546137823846044,0.6266028157165493,0.9592826182889704,0.9061378413605132,0.9319531974623686,0.9026540484174292,19.29083839934728,1.980099552617552,22.17359200038226,45.09869217322843,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3459936572723072,0.9487915037716004,0.1284763135808538,0.8667912100802451,0.9432987051182428,0.9034280774796872,0.766729558919273,19.01398256355289,1.7211528003985144,21.50186492287068,46.5075938104485,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3494494546118494,0.7730799922930451,0.2644446865886665,0.8491139240506329,0.7201752125740788,0.7793475230039967,0.7481227385932985,19.421884349596816,1.8594599839587864,22.0294670721489,45.39374451160762,,,,,,,,,,,,
