source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.4280339480747853,0.8436624400638804,0.3868243291701365,0.9152024446142092,0.8083670715249662,0.8584736653529201,0.5614441708993103,14.01188909312931,4.647553607947746,19.22088687197637,52.026735637156165,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3648917979777611,0.7691457427706023,0.2518100015199878,0.8062015503875969,0.7428571428571429,0.7732342007434944,2.0220183639549743,10.478137353179502,0.1130208701771848,12.61317658731166,79.28216917266973,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.4360299224957952,0.6725324795126326,0.5020818252483474,0.7150865479979404,0.6566125290023201,0.6846031970266865,0.4832536138803046,8.370276183655886,0.485965875456127,9.339495672992316,107.07216267488307,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.6761195185313135,0.9380587609970674,0.7509875159289191,0.9545454545454546,0.8873239436619719,0.9197080291970804,2.1051387302577496,13.88505756855011,2.301847916096449,18.29204421490431,54.668575488419314,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.3636179231131323,0.5887311264879466,0.4290619848799734,0.6176470588235294,0.6774193548387096,0.6461538461538462,1.2127952029307685,12.218206841498612,0.1001127995550632,13.531114843984446,73.90374049220135,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.6297937165049652,0.902479167987564,0.7022884919351656,0.902794137348192,0.8356890459363958,0.8679464703156446,0.3233050788927644,8.381945033466293,0.1441714107983585,8.849421523157416,113.0017365974908,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5373046496447086,0.944885690747701,0.565849817960856,0.9734364224561588,0.8698224852071006,0.9187172617495468,0.5323926664211533,8.794419330232383,0.2248863453121394,9.551698341965675,104.69342353563133,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3720590777630778,0.8157146664644509,0.2193331043632264,0.8304597701149425,0.7758389261744967,0.8022206800832755,0.4030237893027293,8.258072144362023,0.2485082887173832,8.909604222382136,112.2384311401694,,,,,,,,,,,,
TestSet::global::global,4140.0,0.4422356389214409,0.8454126199272671,0.4058408277587154,0.8973712981889053,0.8107017091814824,0.8518376463687025,0.3098577081005354,8.217563365635591,0.1274015846693717,8.654822658405498,115.54251767698644,,,,,,,,,,,,
