source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.3011683590886415,0.666067012016714,0.2199357437608849,0.8693233631223782,0.4948095089795494,0.6306562582693834,0.4769797381645037,14.679937321156013,3.934662789106369,19.09157984842688,52.37911204516679,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3150474308616555,0.7726740505813902,0.191615208982034,0.8223866856430346,0.6785714285714286,0.7435891819099492,2.083434540705354,15.96582650353073,2.4166687473873885,20.46592979162347,48.86169405356269,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.5158697989859705,0.7143228363710482,0.6122052328559127,0.8090614886731392,0.580046403712297,0.6756756756756757,0.3822540492254579,8.848272809088579,0.3663635291550831,9.59689038746912,104.20041905508506,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.5190378552050456,0.8468544538254117,0.5690029262672812,0.9469741755925966,0.7546552511341243,0.8399467276186583,1.9459544820711017,12.30024062562734,1.4005739754065871,15.646769083105028,63.91095789096638,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.1732387375591358,0.3717339240620491,0.0644595679012345,0.4166666666666667,0.4838709677419355,0.4477611940298507,1.057875032226245,12.520673801191151,0.1669319656987985,13.745480799116194,72.75118379739018,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.5621763867642956,0.7979144769643702,0.6391053265184121,0.7746184527941192,0.7553003533568905,0.7648374394247652,0.2154492580464192,8.252067164969198,0.1514534280622475,8.618969851077864,116.02314630152034,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5712262969831478,0.8931187146777002,0.6252021205603379,0.8895627181910207,0.8102586478654855,0.8480607428828402,0.5068164618049389,8.837359984402418,0.3785644431648116,9.722740889372169,102.85165586312088,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3268153335357514,0.9176600654917384,0.0901465944092657,0.87417285431822,0.8993288590604027,0.8865724456480885,0.2992018837729752,8.502832312091336,0.2358375524003666,9.037871748264678,110.6455178667484,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3287037710724553,0.6845376503881515,0.2564886570693226,0.8269862748888459,0.5511466116980159,0.6614611519134131,0.196991553293892,8.170551248682115,0.1407791211400271,8.508321923116032,117.5319891555968,,,,,,,,,,,,
