source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.3249238483546169,0.7883673433977545,0.2082730650172135,0.8425707547169812,0.8158932835046195,0.8290174568851855,0.4798246484439252,15.983377949539888,6.052549420145608,22.51575201812942,44.41335111502435,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3276679380319751,0.7742571930022681,0.1555859209085015,0.8145161290322581,0.7214285714285714,0.7651515151515151,1.9868868677055136,16.20484026623707,2.810629577759434,21.00235671170202,47.6137042012444,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.4953670922846632,0.7790922926671087,0.5577270758609251,0.9088564841083556,0.6890951276102089,0.7838642550914949,0.3883018045224876,8.360290856353034,0.6098364780126053,9.358429138888129,106.85554008680668,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.6824063054669249,0.9083923076923076,0.7832004988306711,1.0,0.8169014084507042,0.8992248062015504,2.2219213098287582,15.552197620272636,1.4478923380374908,19.222011268138885,52.02369232076837,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.5133644273049828,0.8329402898550725,0.6091531862264357,0.952914426075314,0.7096774193548387,0.8135031488599185,1.1780600063502789,11.77147775888443,0.1128279914458592,13.062365756680569,76.55581068755204,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.6731556667632883,0.9826912609078192,0.7490734595843139,0.983385720700494,0.9673144876325088,0.9752839011356044,0.2257681636666567,8.15455215147783,0.1628477370983439,8.543168052242832,117.05259616629812,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.55212539299481,0.9527111525539343,0.5892381029055428,0.978190092914632,0.8816568047337278,0.9274182222545088,0.521536043561925,8.752065074270982,0.5241029174723969,9.797704035305305,102.06472826659936,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.3178293291873002,0.9258877125784614,0.0945516960815775,0.817017439291837,0.9529333360205844,0.8797568439426662,0.2995102296826308,8.354774091655957,0.2861821748134072,8.940466496151993,111.85098679474984,,,,,,,,,,,,
TestSet::global::global,4140.0,0.3576883231709444,0.8136796695370138,0.2508621322690849,0.8436003411967639,0.8077814996135017,0.8253024610613696,0.1952263193681908,8.163471355053465,0.1458652974398815,8.504562971861537,117.58393738850911,,,,,,,,,,,,
