source,images_mean,map50_95_mean,map50_mean,map75_mean,precision_mean,recall_mean,f1_mean,speed_pre_ms_mean,speed_inf_ms_mean,speed_post_ms_mean,speed_total_ms_mean,fps_est_mean,images_std,map50_95_std,map50_std,map75_std,precision_std,recall_std,f1_std,speed_pre_ms_std,speed_inf_ms_std,speed_post_ms_std,speed_total_ms_std,fps_est_std
TestSet::dataset::datamatrix140,295.0,0.3619671959147081,0.8289122162130538,0.2603097371136715,0.8693894692634784,0.8595972178968131,0.8644656139892992,0.2929752092745344,18.649071290836496,5.447533786675687,24.38958028678672,41.001115568264176,,,,,,,,,,,,
TestSet::dataset::datamatrixfit,51.0,0.3376092250891832,0.7651438232503265,0.2208211919591997,0.8149626369005284,0.7142857142857143,0.7613101806035806,2.5784560278350237,15.986417073245144,2.433740552149567,20.99861365322973,47.6221914700637,,,,,,,,,,,,
TestSet::dataset::dmcode,428.0,0.602555418964669,0.8884415319956048,0.7143654994430795,0.9007732713852626,0.8491879350348028,0.8742202872337049,0.38716484026583,8.558608941890508,0.5406360881768655,9.486409870333205,105.41395677276124,,,,,,,,,,,,
TestSet::dataset::implementacao,50.0,0.7195042864463498,0.9224545454545454,0.8041896708361443,1.0,0.8450704225352113,0.916030534351145,2.425401657819748,16.51992740109563,1.012690644711256,19.958019703626636,50.1051714974651,,,,,,,,,,,,
TestSet::dataset::pcbdataset,30.0,0.4789272879100991,0.783627777777778,0.5722137955182071,0.74352801076939,0.7096774193548387,0.7262084616016738,1.2329090076188245,13.136258286734424,0.1040586270391941,14.47322592139244,69.09309682798015,,,,,,,,,,,,
TestSet::dataset::qrv2,2231.0,0.6880851775963963,0.9763095706197192,0.7752497856637733,0.9713004484304932,0.956713780918728,0.9639519359145527,0.2170644382433151,8.182973321652478,0.1568881584417387,8.556925918337532,116.8643984467594,,,,,,,,,,,,
TestSet::dataset::real2dcodes,319.0,0.5401289206679588,0.9606030433276564,0.4752957786179823,0.9776890583261524,0.8994082840236687,0.9369163957763088,0.4613836789299328,8.522310370118081,0.7785112162041814,9.762205265252195,102.43587107919372,,,,,,,,,,,,
TestSet::dataset::recntagledmtest,736.0,0.4135845932772893,0.9652778829029376,0.1996187899922234,0.8509430902611851,0.9852348993288592,0.9131781718560392,0.2928815412578052,8.314628038889445,0.3024574948737965,8.909967075021047,112.2338603027484,,,,,,,,,,,,
TestSet::global::global,4140.0,0.4081109217325739,0.8574111066937858,0.3203865541884955,0.8758042613553202,0.8703512840333247,0.8730692582862697,0.1975275978787941,8.159984724488163,0.1420458256838402,8.499558148050799,117.65317473936334,,,,,,,,,,,,
